,inning,top_bot,home_team,away_team,pitch_number,ab_pitch_number,pitcher_name,pitcher_id,p_throw,order,batter_pos,batter_name,batter_id,stand,velocity,pitch name,pitch_name,pitch_type,balls,strikes,out_count,post_out_count,result,events,description,type,des,left,top,plate_x,plate_z,runner_id,post_runner_id,on_1b,on_2b,on_3b,bat_team,fld_team,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,fld_2,fld_3,fld_4,fld_5,fld_6,fld_7,fld_8,fld_9,umpire,umpire_1b,umpire_2b,umpire_3b,game_date,start_time,stadium,attendance,game_time_length,game_type,game_id,hit_direction,hit_distance,hit_angle,Zone,detailed_zone,runs_scored,away_runs_scored,home_runs_scored,event_out,fld_league,bat_league,home_league,away_league,swing,contact,IFH,FB,GB,LD,IFFB,OFFB,Pull,Center,Opposite,Left,Right,SL,SF,FA,FT,CT,CH,CB,SI,SP,XX,pitch_group
0,1,Top,日本ハム,楽天,1.0,1.0,金村 尚真,2107859,右,1.0,右,小郷 裕哉,1800123.0,左,150.0,ストレート,Four-Seam Fastball,FF,0,0,0,1,見逃し,,called_strike,S,チェンジアップ,97.0,69.0,97.0,69.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,In,3.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
1,1,Top,日本ハム,楽天,2.0,2.0,金村 尚真,2107859,右,1.0,右,小郷 裕哉,1800123.0,左,149.0,ストレート,Four-Seam Fastball,FF,0,1,0,1,ファウル,,foul,S,チェンジアップ,117.0,155.0,117.0,155.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,Out,12.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
2,1,Top,日本ハム,楽天,3.0,3.0,金村 尚真,2107859,右,1.0,右,小郷 裕哉,1800123.0,左,,チェンジアップ,Changeup,CH,0,2,0,1,一ゴロ,ground_out,hit_into_play,X,チェンジアップ,78.0,80.0,78.0,80.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,W,3.0,GO,In,2.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Offspeed
3,1,Top,日本ハム,楽天,4.0,1.0,金村 尚真,2107859,右,2.0,左,中島 大輔,1950278.0,左,148.0,ストレート,Four-Seam Fastball,FF,0,0,1,2,ボール,,ball,B,141km/h スプリット,78.0,44.0,78.0,44.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,Out,14.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
4,1,Top,日本ハム,楽天,5.0,2.0,金村 尚真,2107859,右,2.0,左,中島 大輔,1950278.0,左,148.0,ストレート,Four-Seam Fastball,FF,1,0,1,2,空振り,,swing_strike,S,141km/h スプリット,79.0,120.0,79.0,120.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,In,5.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
5,1,Top,日本ハム,楽天,6.0,3.0,金村 尚真,2107859,右,2.0,左,中島 大輔,1950278.0,左,148.0,ストレート,Four-Seam Fastball,FF,1,1,1,2,見逃し,,called_strike,S,141km/h スプリット,85.0,58.0,85.0,58.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,In,3.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
6,1,Top,日本ハム,楽天,7.0,4.0,金村 尚真,2107859,右,2.0,左,中島 大輔,1950278.0,左,148.0,ストレート,Four-Seam Fastball,FF,1,2,1,2,ファウル,,foul,S,141km/h スプリット,109.0,152.0,109.0,152.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,In,9.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
7,1,Top,日本ハム,楽天,8.0,5.0,金村 尚真,2107859,右,2.0,左,中島 大輔,1950278.0,左,141.0,スプリット,Split-Finger,FS,1,2,1,2,二ゴロ,ground_out,hit_into_play,X,141km/h スプリット,74.0,51.0,74.0,51.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,O,4.0,GO,Out,14.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Offspeed
8,1,Top,日本ハム,楽天,9.0,1.0,金村 尚真,2107859,右,3.0,中,辰己 涼介,1800117.0,左,142.0,カットボール,Cutter,FC,0,0,2,3,空振り,,swing_strike,S,142km/h スプリット,49.0,59.0,49.0,59.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,In,1.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
9,1,Top,日本ハム,楽天,10.0,2.0,金村 尚真,2107859,右,3.0,中,辰己 涼介,1800117.0,左,149.0,ストレート,Four-Seam Fastball,FF,0,1,2,3,ボール,,ball,B,142km/h スプリット,11.0,42.0,11.0,42.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,Out,13.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
10,1,Top,日本ハム,楽天,11.0,3.0,金村 尚真,2107859,右,3.0,中,辰己 涼介,1800117.0,左,139.0,スプリット,Split-Finger,FS,1,1,2,3,空振り,,swing_strike,S,142km/h スプリット,100.0,46.0,100.0,46.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,Out,14.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Offspeed
11,1,Top,日本ハム,楽天,12.0,4.0,金村 尚真,2107859,右,3.0,中,辰己 涼介,1800117.0,左,142.0,スプリット,Split-Finger,FS,1,2,2,3,空振り三振,strike_out,swing_strike,S,142km/h スプリット,70.0,35.0,70.0,35.0,0,0,,,,楽天,日本ハム,0,0,0,0,0,0,0,0,田宮 裕涼,マルティネス,石井 一成,郡司 裕也,奈良間 大己,野村 佑希,水谷 瞬,万波 中正,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,Out,14.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Offspeed
12,1,Bot,日本ハム,楽天,1.0,1.0,古謝 樹,2110316,左,1.0,中,水谷 瞬,1800110.0,右,147.0,ストレート,Four-Seam Fastball,FF,0,0,0,0,左本塁打,home_run,hit_into_play,X,147km/h ストレート、打者ガッツポーズ,80.0,120.0,80.0,120.0,0,0,,,,日本ハム,楽天,0,0,0,0,0,1,1,0,太田 光,フランコ,小深田 大翔,鈴木 大地,村林 一輝,中島 大輔,辰己 涼介,小郷 裕哉,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,H,11.0,HR,In,5.0,1,0,1,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Fastball
13,1,Bot,日本ハム,楽天,2.0,1.0,古謝 樹,2110316,左,2.0,右,万波 中正,1800093.0,右,148.0,ストレート,Four-Seam Fastball,FF,0,0,0,1,中フライ,fly_out,hit_into_play,X,148km/h ストレート,16.0,101.0,16.0,101.0,0,0,,,,日本ハム,楽天,0,1,1,0,0,1,1,0,太田 光,フランコ,小深田 大翔,鈴木 大地,村林 一輝,中島 大輔,辰己 涼介,小郷 裕哉,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,O,9.0,FO,Out,11.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
14,1,Bot,日本ハム,楽天,3.0,1.0,古謝 樹,2110316,左,3.0,三,郡司 裕也,1900040.0,右,137.0,ツーシーム,Two-Seam Fastball,FT,0,0,1,2,ボール,,ball,B,147km/h ストレート,69.0,44.0,69.0,44.0,0,0,,,,日本ハム,楽天,0,1,1,0,0,1,1,0,太田 光,フランコ,小深田 大翔,鈴木 大地,村林 一輝,中島 大輔,辰己 涼介,小郷 裕哉,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,Out,14.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fastball
15,1,Bot,日本ハム,楽天,4.0,2.0,古謝 樹,2110316,左,3.0,三,郡司 裕也,1900040.0,右,137.0,ツーシーム,Two-Seam Fastball,FT,1,0,1,2,ボール,,ball,B,147km/h ストレート,59.0,38.0,59.0,38.0,0,0,,,,日本ハム,楽天,0,1,1,0,0,1,1,0,太田 光,フランコ,小深田 大翔,鈴木 大地,村林 一輝,中島 大輔,辰己 涼介,小郷 裕哉,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,Out,14.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fastball
16,1,Bot,日本ハム,楽天,5.0,3.0,古謝 樹,2110316,左,3.0,三,郡司 裕也,1900040.0,右,148.0,ストレート,Four-Seam Fastball,FF,2,0,1,2,ボール,,ball,B,147km/h ストレート,44.0,32.0,44.0,32.0,0,0,,,,日本ハム,楽天,0,1,1,0,0,1,1,0,太田 光,フランコ,小深田 大翔,鈴木 大地,村林 一輝,中島 大輔,辰己 涼介,小郷 裕哉,秋村,本田,山口,長川,2024-07-17,18:00:00,エスコンF,24337,2時間51分,パ・リーグ,2021020516,,,,Out,13.0,0,0,0,1,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
