,inning,top_bot,home_team,away_team,pitch_number,ab_pitch_number,pitcher_name,pitcher_id,p_throw,order,batter_pos,batter_name,batter_id,stand,velocity,pitch name,pitch_name,pitch_type,balls,strikes,out_count,post_out_count,result,events,description,type,des,left,top,plate_x,plate_z,runner_id,post_runner_id,on_1b,on_2b,on_3b,bat_team,fld_team,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,fld_2,fld_3,fld_4,fld_5,fld_6,fld_7,fld_8,fld_9,umpire,umpire_1b,umpire_2b,umpire_3b,game_date,start_time,stadium,attendance,game_time_length,game_type,game_id,hit_direction,hit_distance,hit_angle,Zone,detailed_zone,runs_scored,away_runs_scored,home_runs_scored,event_out,fld_league,bat_league,home_league,away_league,swing,contact,IFH,FB,GB,LD,IFFB,OFFB,Pull,Center,Opposite,Left,Right,SL,SF,FA,FT,CT,CH,CB,SI,SP,XX,pitch_group
0,1,Top,DeNA,広島,1.0,1.0,東 克樹,1700058,左,1.0,中,秋山 翔吾,1000150.0,左,122.0,スライダー,Slider,SL,0,0,0,0,ボール,,ball,B,141km/h ストレート、詰り、ポテンヒット、ランナー1塁,52.0,187.0,52.0,187.0,0,100,,,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,Out,12.0,0,0,0,0,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Breaking
1,1,Top,DeNA,広島,2.0,2.0,東 克樹,1700058,左,1.0,中,秋山 翔吾,1000150.0,左,131.0,カットボール,Cutter,FC,1,0,0,0,見逃し,,called_strike,S,141km/h ストレート、詰り、ポテンヒット、ランナー1塁,99.0,78.0,99.0,78.0,0,100,,,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,In,3.0,0,0,0,0,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
2,1,Top,DeNA,広島,3.0,3.0,東 克樹,1700058,左,1.0,中,秋山 翔吾,1000150.0,左,141.0,ストレート,Four-Seam Fastball,FF,1,1,0,0,中安打,single,hit_into_play,X,141km/h ストレート、詰り、ポテンヒット、ランナー1塁,20.0,160.0,20.0,160.0,0,100,,,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,O,5.0,FH,Out,11.0,0,0,0,0,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
3,1,Top,DeNA,広島,4.0,1.0,東 克樹,1700058,左,2.0,遊,矢野 雅哉,2000065.0,左,124.0,スライダー,Slider,SL,0,0,0,1,捕犠打,sac_bunt,hit_into_play,X,124km/h スライダー、セーフティバント、ランナー2塁,76.0,167.0,76.0,167.0,100,10,秋山,,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,P,1.0,GO,In,8.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Breaking
4,1,Top,DeNA,広島,5.0,1.0,東 克樹,1700058,左,3.0,左,上本 崇司,1200070.0,右,137.0,ツーシーム,Two-Seam Fastball,FT,0,0,1,2,ボール,,ball,B,144km/h ストレート、詰り,102.0,41.0,102.0,41.0,10,0,,秋山,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,Out,14.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fastball
5,1,Top,DeNA,広島,6.0,2.0,東 克樹,1700058,左,3.0,左,上本 崇司,1200070.0,右,134.0,カットボール,Cutter,FC,1,0,1,2,ファウル,,foul,S,144km/h ストレート、詰り,109.0,106.0,109.0,106.0,10,0,,秋山,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,In,6.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
6,1,Top,DeNA,広島,7.0,3.0,東 克樹,1700058,左,3.0,左,上本 崇司,1200070.0,右,133.0,カットボール,Cutter,FC,1,1,1,2,ファウル,,foul,S,144km/h ストレート、詰り,95.0,120.0,95.0,120.0,10,0,,秋山,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,In,6.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
7,1,Top,DeNA,広島,8.0,4.0,東 克樹,1700058,左,3.0,左,上本 崇司,1200070.0,右,144.0,ストレート,Four-Seam Fastball,FF,1,2,1,2,二フライ,fly_out,hit_into_play,X,144km/h ストレート、詰り,107.0,88.0,107.0,88.0,10,0,,秋山,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,Q,5.0,FO,In,3.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
8,1,Top,DeNA,広島,9.0,1.0,東 克樹,1700058,左,4.0,三,小園 海斗,1800072.0,左,143.0,ストレート,Four-Seam Fastball,FF,0,0,2,3,見逃し,,called_strike,S,125km/h スライダー,70.0,104.0,70.0,104.0,10,0,,秋山,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,In,5.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
9,1,Top,DeNA,広島,10.0,2.0,東 克樹,1700058,左,4.0,三,小園 海斗,1800072.0,左,126.0,スライダー,Slider,SL,0,1,2,3,ボール,,ball,B,125km/h スライダー,122.0,75.0,122.0,75.0,10,0,,秋山,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,Out,12.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Breaking
10,1,Top,DeNA,広島,11.0,3.0,東 克樹,1700058,左,4.0,三,小園 海斗,1800072.0,左,125.0,スライダー,Slider,SL,1,1,2,3,左フライ,fly_out,hit_into_play,X,125km/h スライダー,93.0,158.0,93.0,158.0,10,0,,秋山,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,H,7.0,FO,In,9.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Breaking
11,1,Bot,DeNA,広島,1.0,1.0,森下 暢仁,1900052,右,1.0,中,梶原 昂希,2103703.0,左,147.0,ストレート,Four-Seam Fastball,FF,0,0,0,1,見逃し,,called_strike,S,129km/h チェンジアップ,49.0,78.0,49.0,78.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,In,1.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
12,1,Bot,DeNA,広島,2.0,2.0,森下 暢仁,1900052,右,1.0,中,梶原 昂希,2103703.0,左,124.0,チェンジアップ,Changeup,CH,0,1,0,1,ボール,,ball,B,129km/h チェンジアップ,32.0,179.0,32.0,179.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,Out,11.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Offspeed
13,1,Bot,DeNA,広島,3.0,3.0,森下 暢仁,1900052,右,1.0,中,梶原 昂希,2103703.0,左,138.0,カットボール,Cutter,FC,1,1,0,1,空振り,,swing_strike,S,129km/h チェンジアップ,34.0,45.0,34.0,45.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,Out,13.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
14,1,Bot,DeNA,広島,4.0,4.0,森下 暢仁,1900052,右,1.0,中,梶原 昂希,2103703.0,左,147.0,ストレート,Four-Seam Fastball,FF,1,2,0,1,ファウル,,foul,S,129km/h チェンジアップ,17.0,177.0,17.0,177.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,Out,11.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
15,1,Bot,DeNA,広島,5.0,5.0,森下 暢仁,1900052,右,1.0,中,梶原 昂希,2103703.0,左,146.0,ストレート,Four-Seam Fastball,FF,1,2,0,1,ボール,,ball,B,129km/h チェンジアップ,14.0,156.0,14.0,156.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,Out,11.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
16,1,Bot,DeNA,広島,6.0,6.0,森下 暢仁,1900052,右,1.0,中,梶原 昂希,2103703.0,左,139.0,カットボール,Cutter,FC,2,2,0,1,ファウル,,foul,S,129km/h チェンジアップ,28.0,76.0,28.0,76.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,In,1.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
17,1,Bot,DeNA,広島,7.0,7.0,森下 暢仁,1900052,右,1.0,中,梶原 昂希,2103703.0,左,149.0,ストレート,Four-Seam Fastball,FF,2,2,0,1,ファウル,,foul,S,129km/h チェンジアップ,19.0,62.0,19.0,62.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,Out,11.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
18,1,Bot,DeNA,広島,8.0,8.0,森下 暢仁,1900052,右,1.0,中,梶原 昂希,2103703.0,左,129.0,チェンジアップ,Changeup,CH,2,2,0,1,空振り三振,strike_out,swing_strike,S,129km/h チェンジアップ,92.0,100.0,92.0,100.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,In,6.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Offspeed
19,1,Bot,DeNA,広島,9.0,1.0,森下 暢仁,1900052,右,2.0,一,オースティン,1900126.0,右,148.0,ストレート,Four-Seam Fastball,FF,0,0,1,2,見逃し,,called_strike,S,109km/h カーブ,32.0,100.0,32.0,100.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,In,4.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
20,1,Bot,DeNA,広島,10.0,2.0,森下 暢仁,1900052,右,2.0,一,オースティン,1900126.0,右,109.0,カーブ,Curveball,CU,0,1,1,2,遊ゴロ,ground_out,hit_into_play,X,109km/h カーブ,20.0,106.0,20.0,106.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,H,4.0,GO,Out,11.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Breaking
21,1,Bot,DeNA,広島,11.0,1.0,森下 暢仁,1900052,右,3.0,左,佐野 恵太,1600089.0,左,149.0,ストレート,Four-Seam Fastball,FF,0,0,2,3,中フライ,fly_out,hit_into_play,X,149km/h ストレート,88.0,140.0,88.0,140.0,0,0,,,,DeNA,広島,0,0,0,0,0,0,0,0,會澤 翼,シャイナー,菊池 涼介,小園 海斗,矢野 雅哉,上本 崇司,秋山 翔吾,野間 峻祥,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,K,9.0,FO,In,9.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
22,2,Top,DeNA,広島,12.0,1.0,東 克樹,1700058,左,5.0,右,野間 峻祥,1400173.0,左,142.0,ストレート,Four-Seam Fastball,FF,0,0,0,1,ボール,,ball,B,142km/h ストレート,88.0,48.0,88.0,48.0,0,0,,,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,Out,14.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
23,2,Top,DeNA,広島,13.0,2.0,東 克樹,1700058,左,5.0,右,野間 峻祥,1400173.0,左,142.0,ストレート,Four-Seam Fastball,FF,1,0,0,1,中フライ,fly_out,hit_into_play,X,142km/h ストレート,100.0,106.0,100.0,106.0,0,0,,,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,J,9.0,FO,In,6.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
24,2,Top,DeNA,広島,14.0,1.0,東 克樹,1700058,左,6.0,二,菊池 涼介,1100082.0,右,142.0,ストレート,Four-Seam Fastball,FF,0,0,1,2,見逃し,,called_strike,S,128km/h チェンジアップ,37.0,87.0,37.0,87.0,0,0,,,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,In,1.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
25,2,Top,DeNA,広島,15.0,2.0,東 克樹,1700058,左,6.0,二,菊池 涼介,1100082.0,右,143.0,ストレート,Four-Seam Fastball,FF,0,1,1,2,見逃し,,called_strike,S,128km/h チェンジアップ,39.0,61.0,39.0,61.0,0,0,,,,広島,DeNA,0,0,0,0,0,0,0,0,山本 祐大,オースティン,牧 秀悟,宮﨑 敏郎,大和,佐野 恵太,梶原 昂希,度会 隆輝,木内,村山,有隅,原,2024-07-17,17:45:00,横浜,33247,2時間51分,セ・リーグ,2021020515,,,,In,1.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
