,inning,top_bot,home_team,away_team,pitch_number,ab_pitch_number,pitcher_name,pitcher_id,p_throw,order,batter_pos,batter_name,batter_id,stand,velocity,pitch name,pitch_name,pitch_type,balls,strikes,out_count,post_out_count,result,events,description,type,des,left,top,plate_x,plate_z,runner_id,post_runner_id,on_1b,on_2b,on_3b,bat_team,fld_team,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,fld_2,fld_3,fld_4,fld_5,fld_6,fld_7,fld_8,fld_9,umpire,umpire_1b,umpire_2b,umpire_3b,game_date,start_time,stadium,attendance,game_time_length,game_type,game_id,hit_direction,hit_distance,hit_angle,Zone,detailed_zone,runs_scored,away_runs_scored,home_runs_scored,event_out,fld_league,bat_league,home_league,away_league,swing,contact,IFH,FB,GB,LD,IFFB,OFFB,Pull,Center,Opposite,Left,Right,SL,SF,FA,FT,CT,CH,CB,SI,SP,XX,pitch_group
0,1,Top,ソフトバンク,ロッテ,1.0,1.0,大山 凌,2110167,右,1.0,中,髙部 瑛斗,1900082.0,左,148.0,ストレート,Four-Seam Fastball,FF,0,0,0,0,ボール,,ball,B,カットボール、ランナー1塁,107.0,40.0,107.0,40.0,0,100,,,,ロッテ,ソフトバンク,0,0,0,0,0,0,0,0,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,14.0,0,0,0,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
1,1,Top,ソフトバンク,ロッテ,2.0,2.0,大山 凌,2110167,右,1.0,中,髙部 瑛斗,1900082.0,左,148.0,ストレート,Four-Seam Fastball,FF,1,0,0,0,ボール,,ball,B,カットボール、ランナー1塁,129.0,66.0,129.0,66.0,0,100,,,,ロッテ,ソフトバンク,0,0,0,0,0,0,0,0,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,12.0,0,0,0,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
2,1,Top,ソフトバンク,ロッテ,3.0,3.0,大山 凌,2110167,右,1.0,中,髙部 瑛斗,1900082.0,左,148.0,ストレート,Four-Seam Fastball,FF,2,0,0,0,見逃し  [セーフティバント、バント構え],,called_strike,S,カットボール、ランナー1塁,59.0,119.0,59.0,119.0,0,100,,,,ロッテ,ソフトバンク,0,0,0,0,0,0,0,0,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,In,5.0,0,0,0,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
3,1,Top,ソフトバンク,ロッテ,4.0,4.0,大山 凌,2110167,右,1.0,中,髙部 瑛斗,1900082.0,左,,カットボール,Cutter,FC,2,1,0,0,右安打,single,hit_into_play,X,カットボール、ランナー1塁,57.0,52.0,57.0,52.0,0,100,,,,ロッテ,ソフトバンク,0,0,0,0,0,0,0,0,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,U,4.0,GH,Out,14.0,0,0,0,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Fastball
4,1,Top,ソフトバンク,ロッテ,5.0,1.0,大山 凌,2110167,右,2.0,二,小川 龍成,2000089.0,左,,ストレート,Four-Seam Fastball,FF,0,0,0,0,ファウル  [セーフティバント、バントファウル],,foul,S,"ストレート、ランエンドヒット、ライン際、ランナー1,3塁",120.0,98.0,120.0,98.0,100,101,髙部,,,ロッテ,ソフトバンク,0,0,0,0,0,0,0,0,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,12.0,0,0,0,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
5,1,Top,ソフトバンク,ロッテ,6.0,2.0,大山 凌,2110167,右,2.0,二,小川 龍成,2000089.0,左,147.0,ストレート,Four-Seam Fastball,FF,0,1,0,0,ボール,,ball,B,"ストレート、ランエンドヒット、ライン際、ランナー1,3塁",127.0,140.0,127.0,140.0,100,101,髙部,,,ロッテ,ソフトバンク,0,0,0,0,0,0,0,0,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,12.0,0,0,0,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
6,1,Top,ソフトバンク,ロッテ,7.0,3.0,大山 凌,2110167,右,2.0,二,小川 龍成,2000089.0,左,140.0,カットボール,Cutter,FC,1,1,0,0,ボール,,ball,B,"ストレート、ランエンドヒット、ライン際、ランナー1,3塁",16.0,43.0,16.0,43.0,100,101,髙部,,,ロッテ,ソフトバンク,0,0,0,0,0,0,0,0,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,13.0,0,0,0,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fastball
7,1,Top,ソフトバンク,ロッテ,8.0,4.0,大山 凌,2110167,右,2.0,二,小川 龍成,2000089.0,左,,ストレート,Four-Seam Fastball,FF,2,1,0,0,左安打,single,hit_into_play,X,"ストレート、ランエンドヒット、ライン際、ランナー1,3塁",56.0,167.0,56.0,167.0,100,101,髙部,,,ロッテ,ソフトバンク,0,0,0,0,0,0,0,0,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,C,4.0,GH,In,8.0,0,0,0,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Fastball
8,1,Top,ソフトバンク,ロッテ,9.0,1.0,大山 凌,2110167,右,3.0,捕,佐藤 都志也,1900081.0,左,,カーブ,Curveball,CU,0,0,0,0,右安打,single,hit_into_play,X,"カーブ、ランナー1,2塁",87.0,71.0,87.0,71.0,101,110,小川,,髙部,ロッテ,ソフトバンク,0,0,0,0,1,0,1,0,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,U,4.0,GH,In,3.0,1,1,0,0,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Breaking
9,1,Top,ソフトバンク,ロッテ,10.0,1.0,大山 凌,2110167,右,4.0,一,ソト,1700020.0,右,134.0,スプリット,Split-Finger,FS,0,0,0,2,ボール  [ワンバウンド],,ball,B,スプリット、ランナー3塁,20.0,40.0,20.0,40.0,110,1,佐藤,小川,,ロッテ,ソフトバンク,1,0,1,0,1,0,1,0,甲斐 拓也,山川 穂高,牧原 大成,栗原 陵矢,今宮 健太,近藤 健介,周東 佑京,正木 智也,山村,深谷,土山,岩下,2024-07-17,18:00:00,みずほPayPay,40142,2時間51分,パ・リーグ,2021020518,,,,Out,13.0,0,0,0,2,パ・リーグ,パ・リーグ,パ・リーグ,パ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Offspeed
