,inning,top_bot,home_team,away_team,pitch_number,ab_pitch_number,pitcher_name,pitcher_id,p_throw,order,batter_pos,batter_name,batter_id,stand,velocity,pitch name,pitch_name,pitch_type,balls,strikes,out_count,post_out_count,result,events,description,type,des,left,top,plate_x,plate_z,runner_id,post_runner_id,on_1b,on_2b,on_3b,bat_team,fld_team,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,fld_2,fld_3,fld_4,fld_5,fld_6,fld_7,fld_8,fld_9,umpire,umpire_1b,umpire_2b,umpire_3b,game_date,start_time,stadium,attendance,game_time_length,game_type,game_id,hit_direction,hit_distance,hit_angle,Zone,detailed_zone,runs_scored,away_runs_scored,home_runs_scored,event_out,fld_league,bat_league,home_league,away_league,swing,contact,IFH,FB,GB,LD,IFFB,OFFB,Pull,Center,Opposite,Left,Right,SL,SF,FA,FT,CT,CH,CB,SI,SP,XX,pitch_group
0,1,Top,巨人,阪神,1.0,1.0,井上 温大,1900019,左,1.0,右,野口 恭佑,1850525.0,右,125.0,スライダー,Slider,SL,0,0,0,1,空振り,,swing_strike,S,148km/h ストレート,84.0,36.0,84.0,36.0,0,0,,,,阪神,巨人,0,0,0,0,0,0,0,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,Out,14.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Breaking
1,1,Top,巨人,阪神,2.0,2.0,井上 温大,1900019,左,1.0,右,野口 恭佑,1850525.0,右,144.0,ストレート,Four-Seam Fastball,FF,0,1,0,1,ボール,,ball,B,148km/h ストレート,97.0,190.0,97.0,190.0,0,0,,,,阪神,巨人,0,0,0,0,0,0,0,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,Out,12.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
2,1,Top,巨人,阪神,3.0,3.0,井上 温大,1900019,左,1.0,右,野口 恭佑,1850525.0,右,130.0,フォーク,Forkball,FO,1,1,0,1,空振り,,swing_strike,S,148km/h ストレート,15.0,38.0,15.0,38.0,0,0,,,,阪神,巨人,0,0,0,0,0,0,0,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,Out,13.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Offspeed
3,1,Top,巨人,阪神,4.0,4.0,井上 温大,1900019,左,1.0,右,野口 恭佑,1850525.0,右,148.0,ストレート,Four-Seam Fastball,FF,1,2,0,1,ボール,,ball,B,148km/h ストレート,83.0,178.0,83.0,178.0,0,0,,,,阪神,巨人,0,0,0,0,0,0,0,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,Out,12.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
4,1,Top,巨人,阪神,5.0,5.0,井上 温大,1900019,左,1.0,右,野口 恭佑,1850525.0,右,130.0,フォーク,Forkball,FO,2,2,0,1,ファウル,,foul,S,148km/h ストレート,79.0,80.0,79.0,80.0,0,0,,,,阪神,巨人,0,0,0,0,0,0,0,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,In,2.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Offspeed
5,1,Top,巨人,阪神,6.0,6.0,井上 温大,1900019,左,1.0,右,野口 恭佑,1850525.0,右,148.0,ストレート,Four-Seam Fastball,FF,2,2,0,1,見逃し三振,strike_out,called_strike,S,148km/h ストレート,52.0,124.0,52.0,124.0,0,0,,,,阪神,巨人,0,0,0,0,0,0,0,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,In,5.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
6,1,Top,巨人,阪神,7.0,1.0,井上 温大,1900019,左,2.0,中,植田 海,1400172.0,右,144.0,ストレート,Four-Seam Fastball,FF,0,0,1,2,ボール,,ball,B,146km/h ストレート,11.0,187.0,11.0,187.0,0,0,,,,阪神,巨人,0,0,0,0,0,0,0,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,Out,11.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
7,1,Top,巨人,阪神,8.0,2.0,井上 温大,1900019,左,2.0,中,植田 海,1400172.0,右,144.0,ツーシーム,Two-Seam Fastball,FT,1,0,1,2,ボール,,ball,B,146km/h ストレート,15.0,131.0,15.0,131.0,0,0,,,,阪神,巨人,0,0,0,0,0,0,0,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,Out,11.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fastball
8,1,Top,巨人,阪神,9.0,3.0,井上 温大,1900019,左,2.0,中,植田 海,1400172.0,右,147.0,ストレート,Four-Seam Fastball,FF,2,0,1,2,ボール,,ball,B,146km/h ストレート,28.0,183.0,28.0,183.0,0,0,,,,阪神,巨人,0,0,0,0,0,0,0,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,Out,11.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
9,1,Top,巨人,阪神,10.0,4.0,井上 温大,1900019,左,2.0,中,植田 海,1400172.0,右,145.0,ストレート,Four-Seam Fastball,FF,3,0,1,2,見逃し,,called_strike,S,146km/h ストレート,45.0,81.0,45.0,81.0,0,0,,,,阪神,巨人,0,0,0,0,0,0,0,0,岸田 行倫,大城 卓三,吉川 尚輝,坂本 勇人,門脇 誠,岡本 和真,ヘルナンデス,丸 佳浩,西本,須山,眞鍋,笠原,2024-07-17,18:00:00,東京ドーム,41725,2時間44分,セ・リーグ,2021020514,,,,In,1.0,0,0,0,1,セ・リーグ,セ・リーグ,セ・リーグ,セ・リーグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fastball
